Movie Name,Year,Genre,Language
Chandigarh Kare Aashiqui,2021,"Drama,Romance,Crime",hi
Velle,2021,"Comedy,Crime",hi
Code Name Abdul,2021,Thriller,hi
420 IPC,2021,"Crime,Drama",hi
83,2021,"Drama,History",hi
Atrangi Re,2021,"Comedy,Drama,Romance",hi
Waah Zindagi,2021,"Comedy,Drama,Romance",hi
Ghost Stories,2020,Horror,hi
Bhangra Paa Le,2020,Music,hi
Sab Kushal Mangal,2020,"Romance,Comedy",hi
Shimla Mirchi,2020,Romance,hi
Chhapaak,2020,Drama,hi
Jai Mummy Di,2020,"Comedy,Romance",hi
Panga,2020,Romance,hi
Street Dancer 3D,2020,Drama,hi
Gul Makai,2020,"War,Drama",hi
Jawaani Jaaneman,2020,Comedy,hi
Operation Parindey,2020,"Action,Thriller",hi
Hacked,2020,Thriller,hi
Malang,2020,"Romance,Action,Drama",hi
Shikara,2020,"Drama,Romance",hi
Shukranu,2020,"Comedy,Drama",hi
The Hundred Bucks,2020,Drama,hi
Yeh Ballet,2020,Drama,hi
Guns of Banaras,2020,"Action,Crime,Drama",hi
Thappad,2020,Drama,hi
Dheet Patangey,2020,Drama,hi
Baaghi 3,2020,"Action,Adventure,Thriller",hi
Guilty,2020,"Thriller,Drama",hi
Kaamyaab,2020,"Comedy,Drama",hi
Angrezi Medium,2020,"Drama,Comedy",hi
Maska,2020,Comedy,hi
Bamfaad,2020,"Romance,Drama",hi
Ateet,2020,"Thriller,Drama",hi
Mrs. Serial Killer,2020,Thriller,hi
Ghoomketu,2020,"Comedy,Drama",hi
Chippa,2020,Drama,hi
Chintu Ka Birthday,2020,Drama,hi
Axone,2019,"Drama,Comedy",hi
Gulabo Sitabo,2020,"Drama,Comedy",hi
Kadakh,2019,Thriller,hi
Bulbbul,2020,"Horror,Fantasy",hi
Bhonsle,2018,Drama,hi
Unlock,2020,"Horror,Thriller",hi
Virgin Bhanupriya,2020,"Comedy,Drama",hi
Dil Bechara,2020,"Drama,Romance",hi
Yaara,2020,"Action,Drama",hi
Shakuntala Devi,2020,"Drama,Family,Comedy",hi
Lootcase,2020,Comedy,hi
Raat Akeli Hai,2020,"Crime,Mystery,Thriller",hi
Gunjan Saxena: The Kargil Girl,2020,"Action,Drama",hi
Khuda Haafiz,2020,"Action,Thriller",hi
Captain Vidyut,2020,"Action,Comedy,Animation",hi
Class of '83,2020,"Action,Crime,Drama",hi
Mee Raqsam,2020,Drama,hi
Sadak 2,2020,"Romance,Drama,Action",hi
Ram Singh Charlie,2020,"Drama,Comedy",hi
Atkan Chatkan,2020,"Drama,Music",hi
Cargo,2019,"Science Fiction,Drama,Fantasy",hi
London Confidential,2020,"Thriller,Crime,Drama",hi
Halahal,2020,"Mystery,Drama",hi
Khaali Peeli,2020,"Romance,Action,Comedy,Thriller",hi
Serious Men,2020,"Drama,Comedy",hi
Ginny Weds Sunny,2020,"Romance,Comedy,Drama,Family",hi
Comedy Couple,2020,"Comedy,Romance,Drama",hi
Taish,2020,"Thriller,Drama,Crime",hi
Kaali Khuhi,2020,"Horror,Drama,Thriller",hi
Pepper Chicken,2020,Thriller,hi
